task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,n_valid_folds,error
3918,1068,pc1,4.0,Binary,1109,21,2,13.402597402597403,0.9459459459459459,0.6858490566037736,0.9459459459459459,0.9724770642201834,0.625,0.912621359223301,0.15519233961094717,3.1509354970185086,0.305116159026511,998.0,111.0,42,10,
3918,1068,pc1,5.0,Binary,1109,21,2,13.402597402597403,0.954954954954955,0.7608789314950453,0.954954954954955,0.9768518518518519,0.6875,0.9283980582524273,0.1446468825996022,3.263043605023995,0.3157165309530683,998.0,111.0,42,10,
3918,1068,pc1,6.0,Binary,1109,21,2,13.402597402597403,0.9369369369369369,0.6652305040930633,0.9369369369369369,0.8055555555555556,0.6201456310679612,0.9004854368932038,0.1811697573969191,3.328947777976282,0.3172076049959287,998.0,111.0,42,10,
3918,1068,pc1,7.0,Binary,1109,21,2,13.402597402597403,0.918918918918919,0.4788732394366197,0.918918918918919,0.4636363636363636,0.49514563106796117,0.9223300970873787,0.17543161593628004,3.245775679999497,0.3124642700422555,998.0,111.0,42,10,
3918,1068,pc1,8.0,Binary,1109,21,2,13.402597402597403,0.9279279279279279,0.48130841121495327,0.9279279279279279,0.46396396396396394,0.5,0.8907766990291263,0.1788369420205829,3.4008851980324835,0.30484543996863067,998.0,111.0,42,10,
3918,1068,pc1,9.0,Binary,1109,21,2,13.402597402597403,0.9363636363636364,0.4835680751173709,0.9363636363636364,0.4681818181818182,0.5,0.8751733703190013,0.18167459837383843,3.3258306729840115,0.3065983600099571,999.0,110.0,42,10,
7592,1590,adult,0.0,Binary,48842,14,2,3.179173440574998,0.8503582395087002,0.7721481777169368,0.8503582395087002,0.8133479003762991,0.7483174509047413,0.9085607425775851,0.3163192906551365,3.7210067389532924,15.015529113006778,43957.0,4885.0,42,10,
7592,1590,adult,1.0,Binary,48842,14,2,3.179173440574998,0.8499488229273285,0.7755871330451762,0.8499488229273285,0.8079025259362502,0.7550842494620171,0.9045729469862367,0.3220320057079309,2.496608664980158,15.098732775019016,43957.0,4885.0,42,10,
7592,1590,adult,2.0,Binary,48842,14,2,3.179173440574998,0.8493038493038493,0.7729696627953155,0.8493038493038493,0.8084219457013575,0.7512690402111565,0.9072270088989487,0.31674804213440216,3.928475023014471,15.271226363023743,43958.0,4884.0,42,10,
7592,1590,adult,3.0,Binary,48842,14,2,3.179173440574998,0.8476658476658476,0.7732433752695534,0.8476658476658476,0.8028108200752144,0.754008489759205,0.9034315234380761,0.32396458819389384,4.094764878973365,15.245182650978677,43958.0,4884.0,42,10,
7592,1590,adult,4.0,Binary,48842,14,2,3.179173440574998,0.8538083538083538,0.7805395823174808,0.8538083538083538,0.8150527325023968,0.7589256749782503,0.9071248267396081,0.3179055445616334,3.8055805190233514,15.449675092997495,43958.0,4884.0,42,10,
7592,1590,adult,5.0,Binary,48842,14,2,3.179173440574998,0.8437755937755937,0.7681799646468244,0.8437755937755937,0.7960690380747306,0.7498655831962302,0.9000554937039975,0.32757232693315896,4.164659152040258,15.259968446043786,43958.0,4884.0,42,10,
7592,1590,adult,6.0,Binary,48842,14,2,3.179173440574998,0.8474610974610974,0.7696158586408932,0.8474610974610974,0.8062590572280097,0.7475981703196184,0.9056604729399114,0.31693176648696114,3.92158472398296,15.274269803019706,43958.0,4884.0,42,10,
7592,1590,adult,7.0,Binary,48842,14,2,3.179173440574998,0.8454135954135954,0.7675242743022157,0.8454135954135954,0.8017392392392393,0.7465454017939894,0.906128600326745,0.3209501281984568,4.007229709008243,15.326052777993027,43958.0,4884.0,42,10,
7592,1590,adult,8.0,Binary,48842,14,2,3.179173440574998,0.8574938574938575,0.7881685197625479,0.8574938574938575,0.8188422057122848,0.7679700011628349,0.9172029331070604,0.303190493429878,4.226804127974901,15.325904358993284,43958.0,4884.0,42,10,
7592,1590,adult,9.0,Binary,48842,14,2,3.179173440574998,0.8558558558558559,0.7842255281816093,0.8558558558558559,0.8180140179558908,0.7627895142228521,0.911752346105712,0.30779757270137653,4.061948010988999,15.203633400960825,43958.0,4884.0,42,10,
9910,4134,Bioresponse,,,3751,1776,2,1.1846243447874198,,,,,,,,,,,,42,0,"Dataset has 1776 features, exceeds limit of 500"
9946,1510,wdbc,0.0,Binary,569,30,2,1.6839622641509433,1.0,1.0,1.0,1.0,1.0,1.0,0.017447706057370928,3.516190377995372,0.2755426010116935,512.0,57.0,42,10,
9946,1510,wdbc,1.0,Binary,569,30,2,1.6839622641509433,0.9824561403508771,0.981329839502129,0.9824561403508771,0.9772727272727273,0.9861111111111112,0.9973544973544973,0.046612262043917344,3.4735391960130073,0.2500201200018637,512.0,57.0,42,10,
9946,1510,wdbc,2.0,Binary,569,30,2,1.6839622641509433,0.9649122807017544,0.9623015873015872,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9748677248677249,0.19249668893266933,3.5843794870306738,0.23354796000057831,512.0,57.0,42,10,
9946,1510,wdbc,3.0,Binary,569,30,2,1.6839622641509433,1.0,1.0,1.0,1.0,1.0,1.0,0.02308513761548237,3.4916837950004265,0.24803998495917767,512.0,57.0,42,10,
9946,1510,wdbc,4.0,Binary,569,30,2,1.6839622641509433,1.0,1.0,1.0,1.0,1.0,1.0,0.03158843192798166,3.5942217700066976,0.23461637902073562,512.0,57.0,42,10,
9946,1510,wdbc,5.0,Binary,569,30,2,1.6839622641509433,1.0,1.0,1.0,1.0,1.0,1.0,0.03279806926776132,3.392712823988404,0.25394130899803713,512.0,57.0,42,10,
9946,1510,wdbc,6.0,Binary,569,30,2,1.6839622641509433,0.9649122807017544,0.9614864864864865,0.9649122807017544,0.9736842105263157,0.9523809523809523,0.9841269841269842,0.149438695857906,3.5866658380255103,0.24423171300441027,512.0,57.0,42,10,
9946,1510,wdbc,7.0,Binary,569,30,2,1.6839622641509433,0.9649122807017544,0.9629870129870131,0.9649122807017544,0.9629870129870131,0.9629870129870131,0.996103896103896,0.08442955355462872,3.4635307459975593,0.23697290098061785,512.0,57.0,42,10,
9946,1510,wdbc,8.0,Binary,569,30,2,1.6839622641509433,0.9824561403508771,0.981329839502129,0.9824561403508771,0.9861111111111112,0.9772727272727273,0.9987012987012986,0.06534449276238224,3.463864379969891,0.24001515901181847,512.0,57.0,42,10,
9946,1510,wdbc,9.0,Binary,569,30,2,1.6839622641509433,0.9821428571428571,0.9811257162116616,0.9821428571428571,0.9772727272727273,0.9857142857142858,1.0,0.02492833078664059,3.6491783930105157,0.23635521298274398,513.0,56.0,42,10,
9952,1489,phoneme,0.0,Binary,5404,5,2,2.407313997477932,0.9094269870609981,0.8898656817492532,0.9094269870609981,0.893687707641196,0.886298528104317,0.9686193157496131,0.20610615100120408,3.382362389995251,0.45722482196288183,4863.0,541.0,42,10,
9952,1489,phoneme,1.0,Binary,5404,5,2,2.407313997477932,0.9131238447319778,0.8955328126476497,0.9131238447319778,0.8948162729658793,0.8962593434093977,0.9736244196384471,0.19105603545060446,3.8739995769574307,0.4592976450221613,4863.0,541.0,42,10,
9952,1489,phoneme,2.0,Binary,5404,5,2,2.407313997477932,0.8927911275415896,0.8662489343563512,0.8927911275415896,0.8815780141843972,0.8543251341828839,0.9641246007441799,0.2280514457988586,3.706221810018178,0.45520897494861856,4863.0,541.0,42,10,
9952,1489,phoneme,3.0,Binary,5404,5,2,2.407313997477932,0.8798521256931608,0.8533453442933343,0.8798521256931608,0.8583327695846299,0.8488343376469426,0.9581234153248377,0.24048507924118884,3.3800582439871505,0.4555186399957165,4863.0,541.0,42,10,
9952,1489,phoneme,4.0,Binary,5404,5,2,2.407313997477932,0.9074074074074074,0.8873197115384616,0.9074074074074074,0.8903505820604266,0.8844522499834316,0.9565246205845318,0.24121586422354807,3.4349195060203783,0.44668250501854345,4864.0,540.0,42,10,
9952,1489,phoneme,5.0,Binary,5404,5,2,2.407313997477932,0.9203703703703704,0.9039984123768454,0.9203703703703704,0.9032585549447829,0.9047484922791438,0.9768871363244748,0.17909222484748205,3.5763036760035902,0.44166431203484535,4864.0,540.0,42,10,
9952,1489,phoneme,6.0,Binary,5404,5,2,2.407313997477932,0.9388888888888889,0.9268590004063388,0.9388888888888889,0.9231501521537485,0.9308270925840016,0.9787924978461131,0.17019087207854494,3.287656884989701,0.4479584899963811,4864.0,540.0,42,10,
9952,1489,phoneme,7.0,Binary,5404,5,2,2.407313997477932,0.912962962962963,0.8934683238260739,0.912962962962963,0.8990704642571374,0.8883789515541123,0.967260918549937,0.21414396889848325,3.55728943500435,0.44091004598885775,4864.0,540.0,42,10,
9952,1489,phoneme,8.0,Binary,5404,5,2,2.407313997477932,0.9074074074074074,0.885546663049376,0.9074074074074074,0.8974247053688346,0.8757490219382955,0.961702900345004,0.2290931813577049,3.4818717800080776,0.44991556904278696,4864.0,540.0,42,10,
9952,1489,phoneme,9.0,Binary,5404,5,2,2.407313997477932,0.9185185185185185,0.8988746829193551,0.9185185185185185,0.9132655757340895,0.887287673946417,0.9712936826292939,0.20017919061582215,3.5283852199791,0.4393281500088051,4864.0,540.0,42,10,
