task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
16,16,mfeat-karhunen,3.0,Multiclass,2000,64,10,1.0,0.98,0.9799937460913071,0.98,0.9804761904761904,0.9800000000000001,0.9994166666666666,0.10617343562775168,0.3187633138149977,0.5013358853757381,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,4.0,Multiclass,2000,64,10,1.0,0.965,0.9648525394160824,0.965,0.9659523809523808,0.9649999999999999,0.9993333333333334,0.1411879619542978,0.31517620757222176,0.501879446208477,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,5.0,Multiclass,2000,64,10,1.0,0.985,0.9849937460913072,0.985,0.9854761904761904,0.985,0.9997222222222222,0.09631672901626652,0.3146748412400484,0.5044728983193636,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,6.0,Multiclass,2000,64,10,1.0,0.98,0.9799785580273385,0.98,0.9808840282524492,0.9799999999999999,0.99975,0.09467168712894793,0.32157566770911217,0.5015555638819933,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,7.0,Multiclass,2000,64,10,1.0,0.985,0.9851067631555436,0.985,0.9861471861471862,0.985,0.9996111111111112,0.10254783945345082,0.31338319927453995,0.5015361681580544,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,8.0,Multiclass,2000,64,10,1.0,0.99,0.99,0.99,0.99,0.99,0.9997777777777778,0.07648444495149867,0.315983384847641,0.5010918751358986,1800.0,200.0,42,32.0,,10,
16,16,mfeat-karhunen,9.0,Multiclass,2000,64,10,1.0,0.97,0.9699785580273386,0.97,0.9708840282524491,0.97,0.9995,0.12669081222129347,0.3153677638620138,0.5021281987428665,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,0.0,Multiclass,2000,6,10,1.0,0.705,0.7008505527043623,0.705,0.7015854029011923,0.7050000000000001,0.9277638888888887,1.060355930812261,0.24891074746847153,0.15724326856434345,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,1.0,Multiclass,2000,6,10,1.0,0.735,0.730616797266348,0.735,0.7320850041771094,0.735,0.9468472222222223,0.8103841874323049,0.24366777390241623,0.16115860268473625,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,2.0,Multiclass,2000,6,10,1.0,0.72,0.7156880869075991,0.72,0.7184731347084288,0.72,0.9473333333333332,0.8812158854628674,0.24380494840443134,0.16534378938376904,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,3.0,Multiclass,2000,6,10,1.0,0.76,0.7530878673574313,0.76,0.7658898167685353,0.76,0.9555694444444445,0.7534118700878294,0.2959139235317707,0.16168642044067383,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,4.0,Multiclass,2000,6,10,1.0,0.715,0.7135032041129603,0.715,0.7164786967418546,0.715,0.9465555555555556,0.8924795406110119,0.29467963241040707,0.16144691035151482,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,5.0,Multiclass,2000,6,10,1.0,0.79,0.7911600808263197,0.79,0.7968220741247057,0.7899999999999999,0.9605555555555556,0.6416953870564742,0.29480561055243015,0.16168653964996338,1800.0,200.0,42,32.0,,10,
