episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
109,1.506619,0.694059,0.492063,0.694712,0.494299,0.506763,2,15,134,71,0,3,4000,0.5,False,False,0.0,4,1,0.521127
110,2.013428,0.691487,0.528497,0.693860,0.483746,0.498971,2,12,385,192,0,3,4000,0.5,False,False,0.0,4,1,0.5625
111,1.985522,0.819058,0.654206,0.799651,0.508412,0.547009,3,15,245,138,0,3,4000,0.5,False,False,0.0,4,1,0.594203
112,1.910811,0.662500,0.652174,0.651276,0.491180,0.547736,2,9,261,146,0,3,4000,0.5,False,False,0.0,4,1,0.60274
113,1.879064,0.695538,0.473684,0.698888,0.507777,0.486990,2,9,124,105,0,3,4000,0.5,False,False,0.0,4,1,0.533333
114,1.412800,0.691348,0.536364,0.690585,0.503179,0.583887,2,15,145,35,0,3,4000,0.5,False,False,0.0,4,1,0.542857
115,1.404927,0.628446,0.788462,0.589902,0.498239,0.526449,2,16,121,69,0,3,4000,0.5,False,False,0.0,4,1,0.608696
116,1.963433,0.665846,0.664430,0.653099,0.490527,0.666325,2,16,268,119,0,3,4000,0.5,False,False,0.0,4,1,0.579832
117,1.874421,0.573706,0.813953,0.519996,0.492546,0.501901,2,16,201,158,0,3,4000,0.5,False,False,0.0,4,1,0.689873
118,1.470561,0.668585,0.608247,0.671216,0.491890,0.624933,2,15,152,55,0,3,4000,0.5,False,False,0.0,4,1,0.636364
119,2.026562,0.694466,0.440000,0.695828,0.486287,0.515665,2,15,393,243,0,3,4000,0.5,False,False,0.0,4,1,0.510288
120,1.825602,0.687070,0.626316,0.681336,0.493440,0.494266,2,8,382,192,0,3,4000,0.5,False,False,0.0,4,1,0.526042
121,1.807345,0.672910,0.601562,0.675534,0.514155,0.505934,2,13,278,150,0,3,4000,0.5,False,False,0.0,4,1,0.64
122,1.470201,0.911374,0.525000,0.917808,0.523141,0.570486,3,12,122,42,0,3,4000,0.5,False,False,0.0,4,1,0.595238
123,1.853274,0.655469,0.666667,0.640438,0.498052,0.502279,2,9,195,141,0,3,4000,0.5,False,False,0.0,4,1,0.624113
124,1.718691,0.805149,0.510638,0.798477,0.515938,0.521984,3,11,322,275,0,3,4000,0.5,False,False,0.0,4,1,0.52
125,1.875640,0.682200,0.573099,0.691107,0.493258,0.500526,2,15,284,113,0,3,4000,0.5,False,False,0.0,4,1,0.637168
126,1.774848,1.030716,0.453846,1.024563,0.489520,0.529241,3,13,229,99,0,3,4000,0.5,False,False,0.0,4,1,0.424242
127,1.714720,0.697302,0.518135,0.719256,0.496346,0.528808,2,14,288,95,0,3,4000,0.5,False,False,0.0,4,1,0.631579
128,1.734762,0.647688,0.679245,0.628669,0.501354,0.501562,2,9,329,276,0,3,4000,0.5,False,False,0.0,4,1,0.655797
129,1.728097,0.676863,0.594203,0.676876,0.513483,0.468647,2,11,143,74,0,3,4000,0.5,False,False,0.0,4,1,0.621622
130,1.569867,0.640976,0.763359,0.576303,0.497853,0.531744,2,12,335,204,0,3,4000,0.5,False,False,0.0,4,1,0.651961
131,1.626714,0.649983,0.702703,0.614096,0.502164,0.562244,2,9,161,124,0,3,4000,0.5,False,False,0.0,4,1,0.653226
132,1.690189,0.681184,0.611765,0.671817,0.496778,0.478681,2,11,180,95,0,3,4000,0.5,False,False,0.0,4,1,0.568421
